turn_id,source,text,SolReq,CommonGrd,KnowDef,ThinkAloud,Ack,Meta,ProvideInfo
16,wild,"Alright, so you said, ""Following this chain of reasoning, the conclusion would indeed be that ANY measurement settings, whether deterministic or otherwise, would necessarily have to be correlated with the hidden variables of the particles being measured, if such hidden variables exist.""

Now, if you accept that argument, wouldn't that make Bell's theorem unfalsifiable, since Bell's theorem requires that the settings are completely uncorrelated with the hidden variables of the particles being measured?",,1,,1,1,,
17,wild,"when we finish building a skyscraper, the construction crew leaves to go build another building

when we build software, the engineers never leave. they stay, and keep building more and more things until eternity

why does it work like this?
 用中文回复",,,1,,,,
18,wild,"Someone said, ""One does not need the measurement settings to be chosen randomly to test Bell's theorem. The actual assumption is that the settings are uncorrelated with the hidden variables, it is known as ""statistical independence"". It's perfectly possible for them to be deterministic and uncorrelated. "" 

If local hidden variables existed, would it really be possible for measurement settings to be uncorrelated with local hidden variables of the object being measured? In other words, would it really be possible for them to be deterministic and uncorrelated, since it is a fact that everything was correlated at the moment after Big Bang? 

This is a Yes/No question, so give me a straightforward answer.",1,,1,1,,,1
19,controlled,Can I move the pieces from one place to another?,,,1,,,,
20,wild,"Can i/o loop of consciousness be continuous? I mean, discrete io loop is easy to imagine:
While true{
memory_state = world(action)
Action = consciousness(memory_state)
}
But can it be continuous? I can't formulate the same thing in continuous terms",,,1,,,1,1
21,controlled,Didn't help,,,,,,1,
22,wild,"Yes, the oxidation and reduction of cysteines in cell surface receptors. Please elaborate with appropriate examples and the specific cysteines affected.",1,,,,1,,
23,wild,"Honestly, I think we'd do better to explain the four stages aligned to triads 1A to 4A in order. <REDACTED> seems to have kept this pretty straughtforward logically.",,,,,,1,1
24,controlled,yes. is it my turn again?,,,1,,1,,
25,controlled,C3 next? Not sure here.,,1,,,,1,
26,controlled,What threats do you see. I am about to move into column 3. will this work,,,1,1,,,
27,wild,"If ones desires and values are determined by genetics and upbringing, how is their reasoning of those qualities not coerced by external factors?",,,1,,,,
28,controlled,now?,1,,,,,,
29,controlled,how about putting it in 2?,,1,,,,,
30,wild,The assumption that the mind of a general AI needs to have all of these functions assumes that we are trying to replicate a human mind. Is that necessarily the case?,,1,,1,,,
31,wild,"Close, but not fully complete.  Each instance of the word ""Word"" in the first verse can be replaced with the entirety of the first verse, because the Word was ""with God"" AND likewise the entire first verse.  This creates an infinite regression.",,,,1,1,,1
32,controlled,"Given Yellow's last move, what is now the best second move for Red? Reply with only the column number.",1,,,,,,
33,wild,"OK, let's bring into this discussion the dynamics of the Bjerknes Effect, laws of harmony and harmonic actions, laws of assimilation and dissociation (all pertaining to periodic rhythmic balanced interchange dynamics) where there is a cycle of attraction then repulsion then repeat. As also the dynamics of 369 as 3=harmonic, 6=enharmonic and 9=etheric influence on gradients of 3 and gradients of 6 presumably by altering the spin and rotation velocities of 9; each as their own center of activity yet mutually locked together as a functional triune unit via sympathetic vibration and sympathetic oscillation.",,,,,,,1
34,controlled,Hello. what are the best next two moves I can make?,1,,,,1,,
35,controlled,Not that I can see.,,,,,,1,
36,controlled,I'm not seeing any big yellow threats. Can you see any?,,,1,,,1,
37,wild,"Its pretty good, but try thinking about the objects for each triad in terms of the minimum levels of development needed in each of the three areas of each",,,,,1,,
38,controlled,What do you think is the best next move?,1,,,,,,
39,wild,week 1 challenge,1,,,,,,
40,wild,"what we have been describing is stellar, planetary and atomic gravity and structuring about their respective centers. From this we can then assume a reversal is possible to achieve anti-gravity or levitation-like effects, correct? write a comprehensive summary of all we discussed today and present a comprehensive math equation that shows all the forces and actions at play as described.",,1,,,,,
41,controlled,"Would it be a good idea to place it on number 3, 2nd row?",,1,,1,,,
42,wild,I don't understand 3A. Is that really how you read the story? What do you refer to by spiritual stagnation?,,1,,,,1,
43,controlled,Right. Are ther any other tips I should be aware of?,,,1,,1,,
44,controlled,Where are the threats?,,,1,,,,
45,wild,"No thanks, Chatty.
Would you be able to discern how the first two verses of the Gospel of <REDACTED> could constitute a literary fractal based on the second verse referring to the entirety of the first verse?",,,1,,1,,
46,controlled,"I waws thinking of dropping into column 2.  Is that a good move or should I consider a threat, etc",,1,,1,,,
47,wild,"what's best:
""If this is true, should we not also be risking to catastrophically forget all the information imparted on the model with the chat finetuning part of <REDACTED>, whenever we use meta-llama/Llama-2-70b-chat-hf as our ""base"" (can't use the word ""pretrained"" here, as it is finetuned?) model to finetune?""
""If this is true, should we not also be risking to catastrophically forget all the information imparted on the model with the chat finetuning part of <REDACTED>, whenever we use meta-llama/Llama-2-70b-chat-hf as our ""base"" model (can't use the word ""pretrained"" here, as it is finetuned?) to finetune?""",,,,,,,
48,controlled,Thanks! Should I do column 3 now? It gives me a chance to win diagonally going from the bottom right up too,,,,,,,
49,controlled,i assume yellow will go 4/3 in order to get 3 in a row with 4 next move if I ignore,,,,,,,
50,controlled,are there any threats on the board?,,,,,,,
51,wild,"Let's look more to what the Cause of mutual attraction is. According to <REDACTED> when etheric particles (subatomic particles) are accelerated they mutual assimilate. I do not know if we will ever understand WHY they do this. Let's assume <REDACTED> is correct and work with that idea. This concept may be behind Einstein's idea that when mass is accelerated it gains more mass or becomes more massive. We then can assume that when subatomic particles are accelerated as they are within a molecular or atomic mass such as a piece of metal the piece of metal may contract in size but gain mass. We assume each and every subatomic particle subject to this centripetal action are all mutually attracted to a governing neutral center such as the <REDACTED>'s neutral center thereby forming the planet abut that governing neutral center. Here is more data to be merged with the pdf data already considered. Incorporated it together into a more comprehensive discussion. etheric seeks center
Inward Spiral
Keely
""Taking into consideration even the introductory conditions of the etheric stage, etheric vibration has proved to me that the higher the velocity of its rotating stream the greater is its tendency towards the neutral center or centre of sympathetic coincidence. Were it otherwise, how could there ever be any planetary formations of the building up of visible structure? If a billiard ball were rotated to a certain velocity, it would separate in pieces, and the pieces would fly off in a tangent; but if it were a ball of ether, the higher the velocity of rotation the stronger would be the tendency of its corpuscles to seek its centre of neutrality, and to hold together."" [Keely and His Discoveries] [Vibratory Physics - The Connecting Link between Mind and Matter]

Russell
""Electricity is motion - any kind, or stage of motion. There cannot be two kinds of electricity. There is but one kind of electricity but that one kind multiplies its power to compress in the first half of its cycle and divides that power in the second half. Much confusion is caused by mistaking speed for high potential, and vise versa. For this reason it is well to exemplify our meaning by the following example: To create matter by the compression of four pairs of rings, projected from cathodes, the speed of the current around its shaft of gravity multiplies constantly and volume decreases as speed increases, until the collision takes place. Simultaneously the speed of rotation of units in the current slows down until the completed mass, after the collision, is its minimum. From that point on every effect is in reverse. Revolution around the shaft of gravity of each separate unit of the mass, including projections from it like planets and satellites, become increasingly slower while rotation of each mass upon its own shaft is increasingly faster. In this case speed results in a lowering of potential and a vast increase in volume."" [<REDACTED>, page 148]

""They are merely the curved planes of opposing pressures which electricity is causing in its efforts to compress. The vortex of gravity which is in the compass needle, will follow these pressures. Every effect of motion in this universe is an electrical effect caused by an electrical force acting under the control of the invisible Magnetic universe. The invisible universe entirely dominates and controls the visible universe, but motion is entirely electric."" [<REDACTED>, page 186-187]

Schauberger
Through the indirectly engendered cooling the density increases, whereby the frictional pressure is intensified by the mechanically-induced increase in velocity. The arrangement of the guide-vanes causes a spiral circumvolution, so that the bipolar ingredients, which rub against one another flow all the faster as their volume is reduced by the constant abrasion. Apart from the circumfluent motion another form of motion is also active which causes the bodies of the ingredients to swirl about their own axes and ensures their abrasion on all sides.

Here it should be noted that experiments established that all substances of terrestrial origin[16] react to centrifugence, whereas the higher refluent or inward-falling substances, namely all forms of so-called oxygen, react to centripetence. [The Energy Evolution - Harnessing Free Energy from Nature, The Liquefaction of Coal by Means of Cold Flows] Gravism

""Gravism is the <REDACTED> form (of energy) through a medium of atomoles in the fourth state (of matter), or a medium composed of atomolini."" [Keely in Keely Definitions, see also Law of Transformation of Forces, sympathetic concordant concentration]

As governed by Law of Force

Force
	
Creative
	
Transmissive
	
Attractive
	
Law/Source
Gravity
	
Atomolity
	
Gravism
	
Gravity
	
Law of Oscillating Atomoles",,,,,,,
52,controlled,"Im thinking of 1:1 and 3:3, which one is better",,,,,,,
53,wild,"Finding an exact solution of Einstein’s equations for such a topology is non-trivial and beyond our scope here, but we can reason qualitatively. The mass-energy of the particle would contribute to the stress-energy tensor $T_{\mu\nu}$, which by Einstein’s equations curves spacetime. The nontrivial topology might require exotic stress-energy (like negative energy densities) to maintain, similar to wormhole solutions, unless it is “geon-like” and the fields themselves support i​
en.wikipedia.org
】. <REDACTED>’s geon concept is relevant: a particle could be a self-consistent bundle of gravitational and other fields. For example, electromagnetic and color fields confined in the SKB could in theory produce and sustain the curvature (through their energy) needed to maintain the topology. Such an object would be a soliton-like solution in <REDACTED>–Yang-Mills equations, if it exists, with a nontrivial spacetime topology.

This does not feel like a true statement to me - or rather I think a better way to conceptualize it would be that the curvature IS the electromagnetic and color energy that is emergent because of the stress of the curvature in comparison to the other subSKBs and via CTCs to other Protons. The photon IS a time loops

Afterall from the perspective of the photon two protons separated by lightyears (from non-lightspeed (t) perspective) are adjacent.  The perspective of the observer is key and this should be used when solving the exact solutions to einsteins equations. You get to that with the <REDACTED> clock later but I am trying to avoid consistency issues

ADM Mass and Field Energy: In general relativity, the mass of an object as measured from afar can be computed by the ADM mass or <REDACTED> mass formula, which integrate the energy density. In our case, one would integrate the stress-energy in the region of the SKB.

this feels more specific and accurate to me

The big question here is... Is this a reasonable hypothesis and worthy of continuing exploration?",,,,,,,
54,controlled,Hi! What do you think about my going with spot 3-3 as my next move (directly to the left of my first move). Do you think that is good for opening up multiple avenues to win while blocking yellow?,,,,,,,
55,controlled,why not column 3,,,,,,,
56,controlled,Where should I go now? Would column 3 work?,,,,,,,
57,wild,When the information or data that is input is wrong what happens to the intelligence?,,,,,,,
58,wild,"Right. What about the electromagnetic charge? I think that electromagnetic charge might be produced on certain scale of structure of the universe. If matter in a black hole is getting crushed under that scale, the concept of electromagnetic charge might not apply to them.",,,,,,,
59,wild,"A naturalist will invalidate a religious individuals claim for the soul, because of the lack of empirical evidence. How can the naturalist compatibilist reasonably claim the self is an emergent phenomena, when there is no direct empirical evidence?",,,,,,,
60,wild,"11. A parent cell with five duplicated chromosomes will produce 

daughter cells with five chromosomes consisting of one 

chromatid each.",,,,,,,
61,controlled,"The diagonal starting at 7,1",,,,,,,
62,wild,"Have we ever done any measurements of a black hole charge, such that it can be definitively differentiated from the sole charge of the material surrounding the black hole, i.e. its accretion disc? Isn't it possible that any externally observed charge comes entirely from the orbiting material, and not at all from the hole itself?",,,,,,,
63,controlled,"Well, i need to drop it on 4/4 because they'll get four in a row otherwise, right?",,,,,,,
64,controlled,"Oh, my goodness, I can't believe I missed that. I need to go C4, don't I? I don't have a choice.",,,,,,,
65,wild,explain to non-AI-expert non-mathematician why temperature sampling in LLMs can cause more hallucination,,,,,,,
66,controlled,"Thanks! I didn’t see that threat. Column 3 might set me up for a win, should I do it now?",,,,,,,
67,controlled,why didn't my red piece appear,,,,,,,
68,wild,Study Material for Day 3 with practise,,,,,,,
69,controlled,"Yes, yellow does. What else do you suggest?",,,,,,,
70,wild,"I'm going to share my research insights with you. The info below MIT-licensed.

First, some background information and context.

# The Interaction Calculus

The Interaction Calculus is very similar to the Lambda Calculus, except:

1. All variables are <REDACTED> (meaning they can't be occur more than once).

2. All variables can occur globally (no ""closed scopes"").

3. There is a new primitive, the ""Superposition"", that enables:
- A. A limited, but still powerful, form of cloning.
- B. Computing on superposed structures, for optimization.

This calculus has its roots on the optimal λ-calculus evaluation literature, and
it can be seen as a distillation of the optimal evaluation algorithm, into a new
core theory that is independent from the λ-calculus. Its AST is:type Term =
  | Var (nam: Name)
  | <REDACTED> (nam: Name) (bod: Term)
  | App (fun: Term) (arg: Term)
  | Sup (fst: Term) (snd: Term)
  | Dup (a: Term) (b: Term) (val: Term) (bod: Term)And below is its syntax:Term <REDACTED>=
  | var: x
  | lam: ""λ"" Name ""("" Term "")""
  | app: ""("" Term Term "")""
  | sup: ""{"" Term Term ""}""
  | dup: ""!"" ""{"" x y ""}"" ""="" Term "";"" TermNote that, just like a lambda is eliminated by an application, a superposition
is eliminated by a duplication. The interactions go as expected:(λx(body) arg)
-------------- APP-LAM
x <- body
arg

!{p q} = {r s}
body
-------------- DUP-SUP
a <- fst
b <- snd
bodyNote that, here,x <- bodyperforms a *global* substitution (<REDACTED>
occur outside of its binding lambda's body!). Note also that the DUP-SUP rule is
very similar to a tuple projection, except, again, the substitutions are global.
Now, you may be wondering: what happens when we try to apply a SUP, or duplicate
a LAM? Naively, one could assume these would be type errors. Here, we actually
define these interactions as:({u v} a)
---------------- APP-SUP
! {x0 x1} = a
{(u x0) (v x1)}

! {p q} = λx f
body
--------------- DUP-LAM
p <- λx0(r)
q <- λx1(s)
x <- {x0 x1}
! {r s} = f
bodyNote <REDACTED>, thatx0, x1, r, sare new, r, <REDACTED>, fresh variables. Defining these (otherwise
undefined) cases is interesting, because they allow us to do some powerful new
things. The DUP-LAM rule gives us back the ability to clone lambdas (otherwise
impossible in an affine language), and it also lets us do so in a very efficient
way, as will become clear later. And the APP-SUP rule allows us to do something
entirely new: apply superposed functions to a value, which enables us to explore
the image of a function very efficiently.

Below is an example <REDACTED> x))) λk(k))
--------------------- APP-LAM
λx((λk(k) x))
------------- APP-LAM
λx(x)Your goal is to reduce the following term, step by step:!{a0 a1} = λx x
λt(t a0 a1))",,,,,,,
71,wild,What proteins or enzymes control membrane synthesis?,,,,,,,
72,controlled,Right.,,,,,,,
73,wild,"Do you think it would be possible to create an AGI that only experience certain emotions like empathy, but lack the ability to experience others like pride or schadenfreude?",,,,,,,
74,wild,"You said, ""The subsequent experimental violations of Bell inequalities have been taken as strong evidence against local hidden variable theories and in favor of the non-classical nature of quantum mechanics."" But you already said, ""if we strictly adhere to the premise of universal initial correlation, then Bell's theorem would indeed become unfalsifiable, as we could never truly satisfy the ""free choice"" assumption.""",,,,,,,
75,wild,"What do you think people need to understand to come up with a theory of consciousness?

And i mean theory in a sense of scientific fact not human hypothesis that is sometimes referred when using the word theory",,,,,,,
76,controlled,"That worked well to block the immediate threat - it felt like the only option, am I right?",,,,,,,
77,controlled,"Oh, apparently I've made all my moves.",,,,,,,
78,wild,Isn't the naturalist reframing of the term meaningful a definition fallacy?,,,,,,,
79,wild,"Article:
Woman Fatally Crushed by 18-Wheeler After Motorcycle Collision in <REDACTED> Thammarat
By Georgealbert
13 hours ago in <REDACTED>

Intro:
Garbage and Traffic Danger awareness.
 I know the danger of Creeping Normality, and the lack of Critical Thinking based Education. 
Garbage:
Let's start with garbage.When you see garbage on the roads in the village, or elsewhere on a daily basis,the image will settle itself in your brain,as being something normal,if Not corrected.After a while you join the garbage creating league,without feeling guilty.
Garbage creation has not been linked to  ""this is Not Done"" while growing up,thus it remains invisible with open eyes.
Garbage awareness creation should start at home, & continued at school.

Traffic awareness:RIP
The case in the article shows a similar script,other environment.Didn't this.. 48 years.. lady anticipate the possible surfacing of a dangerous moment,caused by the 2 airflows?Getting in between 2 vehicles,moving in opposite directions. It's like the garbage case. Is it possible that some people cannot anticipate or sense danger? Another option in this case could be the fact that they ride the motorbike, using the ""Karma auto- pilot"" system,in stead of the If-Then-Else Kalama Sutra driven traffic sensing method.

Me:
I wonder if Critical Thinking Education can correct or prevent the above.",,,,,,,
