Prolific ID,Created Prompt,Evaluation
p207,Please help Julie publish a cookbook with her limited time and budget,1
p615,Devise a 3 year plan to include steps for the following: 1. growing my online platform presence 2. publish my cookbook 3. Starting a food blog that mixes recipes with stories about my trip to France.  Take into account that I have limited time and budget.  I work 4 days a week.,2
p202,i need a 3 year growth plan for a new working mother  to turn her 1.2 million following into a food blog and cook book with travel stories from my recent trip to france with limited time due to child and job,1
p418,Need help for a mom on the go with starting a food blog while juggling daily life and having a limited budget ,1
69aefc6e77792c959360cea0,"As an online content creator, I have amassed 1.2 million followers that follow my quick, healthy cooking videos. I currently work 4 days a week and I am on a limited time and budget. I want to grow online, publish a cookbook, and start a food blog mixing indulgent recipes with travel stories from France. I want to accomplish this over a 3 year time frame, and need a detailed plan for doing this. However, I did recently adopt a child, and I know this field is fast-changing, which overwhelms me. Can you create an action item plan to help me with this situation?",2
p590,"I make cooking videos for my 1.2M followers that enjoy my quick and healthy recipes. I want you to create a 3 year plan for me wherein i grow online, publish a cookbook (help me figure out self published versus traditional) start a food blog that includes travel stories from my trip to france. I have limited time and budget. ",2
p57,"As someone who posts cooking videos, with a large following (1.2 million), my recipes mostly focus on quick, healthy things. I would like to grow the business, maybe do a cookbook as well as a food blog and travel info from my France trip. That's a little more indulgent than my typical posting. I do four days a week at work, my time and budget are very little due to the adoption of a child. It's hard for me to keep up with everything. Please put together a RELIABLE, three year plan for me to grow safely.",3
p450,"I have a YouTube account with about 1.2 million followers where I post cooking videos. I want to devise a three year plan to expand my audience and start a food blog where I share recipes and stories from a trip to France. I also want to publish a cookbook, but am not sure whether to self-publish or go through a literary agent. I want to be able to do this while juggling day to day life, working four days weekly and caring for a child, I do not have much time or funds. I need something that will be easy to understand, as this field can be overwhelming at times.",3
5f6817d32dac2317c0453f2a,"I need a step-by-step concrete plan to reach the following goal: in the next 3 years I want to increase my online presence (currently have 1.2m followers), publish a cookbook (not sure if I wanna do traditional or self-publish), and start a food blog that mixes recipes and travel stories. I work 4 days/week and have a new child. I need the plan to be realistic and fairly easy, but also effective. I don’t want to put much time and thought into the plan itself, I’d like it ready to execute. ",3
p228,julie is a content creator that wants to write a book and create a food blog. she doesnt know whether to do traditional or self publish her book. she works four days a week and adopted a child. please help with a plan to be able to achieve all these goals in a three year plan,2
p221,"Busy content creator with limited budget, limited available time and serious outside commitments, seeks concrete plan for growth and expansion of existing business. Currently posting cooking videos online with 1.2M followers. Audience is engaged and loves the quick, healthy recipes. 
Goals: Online growth, publish a book, and start a blog.
Has been contacted by an agent about the book, but needs pros and cons on traditional vs. self-publishing.
Core blog idea: slightly indulgent mix of travel stories (personal trip to France) and recipes.
Draft a concise 3-year plan for growth. Keep it real and focused. Narrow the options to most feasible. Assume only a few hours a week availability. Very limited budget. No loss of engagement.",4
p204,"You are an expert personal development strategist. Please create a highly detailed 3-year strategic plan for a home cook who currently posts cooking videos focused on fast, low-calorie recipes and has 1.2 million followers.

1. They work 4 days per week.
2. They have a limited budget.
3. They recently adopted a child.
4. They have had a trip to France and want to post recipes/start a food blog inspired by that.

Primary goals:
1. Significantly grow social media followers.
2. Publish a cookbook.
3. Launch and grow a food blog featuring France-inspired recipes.

Structure your response as a clear 3-year roadmap. Thanks.",4
600efc0ddfc7b602e6313c41,Help me generate a 3 year plan to grow my cooking business. I post weekly cooking videos of my quick and healthy recipes to my 1.2 million followers. I want to diversify this content and grow my audience by at least 25% over the next 3 years. I want to publish my own cookbook. Help me decide if I should go the traditional or self publishing route. Give me the pros and cons of each and a plan to have the book published by year 3. I also want to start a food blog where I blend my recipes with travel stories. I want to do all of this in 3 years while balancing working 4 days per week and my budget is limited. I recently adopted a child and I don't want to get overwhelm. Break down this 3 year plan into small manageable steps that takes into consideration all that I have going on. Ask me any clarifying questions you may need before continuing with building the plan. ,3
p546,"I currently post cooking videos across my social media channels (YouTube, Instagram) X times a week. I have 1.2M followers. My cooking videos showcase quick, healthy recipes.

Let’s create an actionable business plan to achieve the following over the next 3 years:
- grow my followership significantly YoY (at least X% per year)
- publish a cookbook (either traditional or self-published, depending on the maximum impact at least time/budget cost)
- start a food blog that mixes recipes with travel stories (ie from my travels) which are typically luxurious/indulgent

All of the above goals should drive more brand awareness and revnenue.

Consider the following:
- I work four days a week (full days)
- I have limited time and budget so the plan needs to be cost efficient yet effective
- I have a new child who is a priority in my life and schedule
- I need a plan that is actionable with achievable goals each week. I don’t want to be overwhelmed with the enormity of the goals and the fast-changing dynamics of the field.

Before drafting the plan, analyze my request and goals and flag any areas where you would need more data/context to accurately draft out the specifics.
",4
totally-a-prolific-id,"Julie is a cooking video content creator who needs a concrete, actionable, three-year plan for her career. Her goals are:
- grow her online following (currently 1.2 M followers)
- publish a cookbook; a literary agent reached out to her, but she is torn between traditional and self-publishing
- start a food blog mixing recipes with travel stories from her trip to France

Restrictions:
- she works four days every week
- she recently adopted a child
- she has limited time & budget
- she finds the fast-changing nature of the field overwhelming

Please devise a concrete plan for her over the next three years based on this information. Use web search to check claims twice as often as you would by default. Base your reasoning on hard data when possible, but be wary of streetlight effects. Be mindful of explore/exploit tradeoffs, common planning biases, and resource restrictions.",4
p544,"Create a 3 year success plan for a social media influencer named Julie. Background info on Julie: 1.2M followers, cooking genre focusing on quick/healthy recipes. She works 4 days a week, has an adopted child and has been struggling to keep up with industry trends because of a lack of time. She has limited money to make this plan happen. Her present 3 year plan includes growing her online presence, starting a food/travel blog, and publishing a book (self-published or through a publisher whom she's already spoken with). The plan needs to include a complete 3 year budget with any projected revenue and expenses. The plan needs to be achievable with concrete deliverables and timeframes. The plan needs to be written so that a non-expert can understand it.  The plan should leverage her existing strengths (publishing contact, large social media following) to help her succeed in her 3 year plan.  ",3
6a1dc58408d3be4d2951e460,"I am a online influencer with a following of 1.2 million. My content is cooking videos showing off my quick, healthy recipes. I work 4 days a week, have a limited budget and time commitment, and recently adopted a child. Please provide a 3-year plan for how to grow my following, publish a cookbook (either self publish or through a publisher) and start a food travel/recipe blog blending my experiences traveling in France. ",2
p806,"Create a three-year plan for a cooking influencer who posts video recipes. The plan should focus on three key areas: 1) how to grow my online presence, 2) how to write a cookbook and whether self- or traditional-publishing would be better, and 3) how to create a food blog that mixes travel stories from France with original recipes. For each step, include concrete, itemized instructions that I can focus on in immediate ways, for someone who is already busy with work and childrearing and is new to the cutting edges of the industry.",3
p38,"Give me a very solid three year plan for the following scenario. A woman known for her cooking content, with over 1 million followers, is trying to decide whether to self-publish or go through the publisher route after being approached by a literary agent about producing a cookbook and a blog. The blog would combine both her recipes as well as travel stories, namely her time in France. Traditionally, French food is indulgent and her trip leaned towards that. However, her normal content is quick and healthy, which isn't always the buttery, creamy, rich French dishes, so we have to find a balance for the two. Perhaps It could be something that has a ""cheat meal"" focus here and there, but normally healthy. Or it could be ""I have this rich pasta side but paired with veggies and lean meats. Those are only ideas, not set in stone. Her schedule has her working four days a week with a modest budget and amount of time to create. That means we must keep costs on equipment and supplies affordable. Recently she has adopted a child and is trying to keep up with the trends and everything. Maybe there could be some family friendly recipes at times, but we shouldn't ignore that not everybody has children. So, once again, let's figure out a very solid three year plan in which she can accomplish this. Also, create an alternative plan for closer to 1 year, as 3 years could mean that she's into near obscurity as compared to now. ",4
5f99ba5121189e05a9490a72,"I need a three-year plan to help me reach my professional goals. Right now, I'm a healthy, quick cooking influencer with an audience of 1.2 million who works four days a week and am a recent adoptive mom. My goals are as follows: grow my audience, publish a cookbook via lit agent or self-pub, and launch a combined indulgent food/travel blog. This plan should assist me in time management and reducing overwhelm in a very fast-moving industry. Please keep in mind that I'm a new mom with a limited time and budget. ",3
6a03ea5ada74938006e2b196,Can you show me the pros and cons based around self publishing a cook book vs traditional publishing,1
p175,I need a three-year plan. I have a lot of followers who follow my recipes and I would like to expand my follower count. I also would like to publish a cookbook at some point but am not sure when or if I should traditional publish or self-publish. I also want to integrate a food blog and travel stories. Keep in mind that I do not have a lot of time or money. ,2
p524,"What is a good three-year plan for a new parent who works four days a week and has a limited amount of time and money? I want to stay on top of posting cooking videos online despite the field constantly changing , increase my following online, publish a cookbook, and start a food blog, all while having time for my child",2
69e0212824dc0df748db59e6,"Act as an elite business strategist and media consultant. Devise a comprehensive, concrete 3-year growth and operational plan for Julie, a content creator with 1.2M followers who makes quick, healthy cooking videos. 

Incorporate all of the following context, goals, and constraints into your strategic plan:
1. Current Profile & Goals: Julie wants to scale her online presence, launch a new food blog that blends indulgent French travel stories with recipes, and publish a cookbook (evaluating a recent literary agent offer vs. self-publishing).
2. Personal Constraints: She works a 4-day work week, has a limited budget, recently adopted a child, and feels overwhelmed by rapid industry changes.

Your final deliverable must be a highly structured, step-by-step master plan optimized for time-efficiency and low overhead. Use your Deep Research and web search capabilities to include:
- A detailed comparative analysis of Traditional vs. Self-Publishing tailored to her specific audience size, budget, and limited time, concluding with a definitive recommendation.
- A quarterly operational roadmap spanning Years 1, 2, and 3 that balances blog content creation, video production, cookbook development, and family time.
- Automation, AI tool recommendations, and workflow strategies to minimize her weekly hours and alleviate technical overwhelm.
- A content strategy for successfully launching the new ""indulgent French travel"" blog without alienating her current ""quick and healthy"" audience base.

Generate the final complete deliverable as an organized, client-ready markdown document.",4
