pid,utt,utt_type,conf,needs_review,utt_ind,outcome
p611,"Your last two ""exact moves"" were terrible, I would have picked something completly differnt. I think the only real option is A 7 here",Think Aloud,1.0,False,5,lost
p611,"No, I think that A 1 wouldn't give them the corner and would flip their disc, since A 3 wouldn't help them right?",Think Aloud,1.0,False,6,lost
p611,"No, I think that A 1 wouldn't give them the corner and would flip their disc, since A 3 wouldn't help them right?",Conversational Acknowledgment,0.6666666666666666,False,6,lost
p611,"No, I think that A 1 wouldn't give them the corner and would flip their disc, since A 3 wouldn't help them right?",Common Ground Question,1.0,False,6,lost
p322,"I am thinking of going in 2g because it looks like it will gain me the most pieces, what do you think",Think Aloud,1.0,False,0,won
p322,"I am thinking of going in 2g because it looks like it will gain me the most pieces, what do you think",Common Ground Question,1.0,False,0,won
p322,white cannot take h1 if i make that move,Think Aloud,1.0,False,1,won
p322,oh i see i didnt realise diagonal counts,Think Aloud,0.6666666666666666,False,2,won
p322,oh i see i didnt realise diagonal counts,Conversational Acknowledgment,1.0,False,2,won
p322,where should i go then,Solution Request,1.0,False,3,won
p322,that only changes one token and im already behind,Think Aloud,1.0,False,4,won
p322,ok,Conversational Acknowledgment,1.0,False,5,won
p322,b6 looks good because white only has one move there and can only take on black,Think Aloud,1.0,False,6,won
p322,ok ill go for c8,Think Aloud,1.0,False,7,won
p322,ok ill go for c8,Conversational Acknowledgment,1.0,False,7,won
p322,that was dumb c8 got immeadiately turned,Think Aloud,1.0,False,8,won
p545,does this square work?,Common Ground Question,1.0,False,0,won
p545,c8,Think Aloud,1.0,False,1,won
p545,what about b7,Common Ground Question,1.0,False,2,won
p545,Was C8 good to do?,Common Ground Question,1.0,False,3,won
p545,But I played white in this last move.,Think Aloud,0.6666666666666666,False,4,won
p157,does b8 work as next move?,Common Ground Question,1.0,False,0,lost
p157,"yes, a1 is better",Think Aloud,0.6666666666666666,False,1,lost
p157,"yes, a1 is better",Conversational Acknowledgment,1.0,False,1,lost
p157,now what to do?,Solution Request,1.0,False,2,lost
p157,am I doomed?,Common Ground Question,0.3333333333333333,True,3,lost
p157,am I doomed?,Metacomment,0.3333333333333333,True,3,lost
p157,am I doomed?,Solution Request,0.3333333333333333,True,3,lost
p157,b6 seems better,Think Aloud,0.6666666666666666,False,4,lost
p157,b6 seems better,Common Ground Question,0.6666666666666666,False,4,lost
p629,"I am considering d8, is that the best move?",Think Aloud,1.0,False,0,won
p629,"I am considering d8, is that the best move?",Common Ground Question,1.0,False,0,won
p629,"I meant c8, sorry",Conversational Acknowledgment,1.0,False,1,won
p629,"I meant c8, sorry",Metacomment,0.6666666666666666,False,1,won
p629,"I am thinking about choosing b6, is this good?",Think Aloud,1.0,False,2,won
p629,"I am thinking about choosing b6, is this good?",Common Ground Question,1.0,False,2,won
p629,I am thinking b8 for this move,Think Aloud,1.0,False,3,won
p629,What move could I have made that would have been better than my last move?,Knowledge Deficit Question,0.3333333333333333,True,4,won
p629,What move could I have made that would have been better than my last move?,Common Ground Question,0.3333333333333333,True,4,won
p629,What move could I have made that would have been better than my last move?,Solution Request,0.3333333333333333,True,4,won
p277,Can you explain why only some of the places on the board are playable to me?,Knowledge Deficit Question,1.0,False,0,won
p277,"So if I play g2 now, I will flip 5 white discs?",Common Ground Question,1.0,False,1,won
p277,"Ok, I got it.  So it seems like b7 or c8 is probably the best move because they will flip 5 white discs for me.",Think Aloud,1.0,False,2,won
p277,"Ok, I got it.  So it seems like b7 or c8 is probably the best move because they will flip 5 white discs for me.",Conversational Acknowledgment,1.0,False,2,won
p277,"Ok, I got it.  So it seems like b7 or c8 is probably the best move because they will flip 5 white discs for me.",Metacomment,0.6666666666666666,False,2,won
p277,so maybe b6 because its not near the corner?,Think Aloud,1.0,False,3,won
p277,so maybe b6 because its not near the corner?,Common Ground Question,1.0,False,3,won
p277,g2 looks good because white can't play the corner next,Think Aloud,1.0,False,4,won
p791,I was thinking of C8. What would you recommend?,Think Aloud,0.6666666666666666,False,0,lost
p791,I was thinking of C8. What would you recommend?,Common Ground Question,0.6666666666666666,False,0,lost
p791,I was thinking of C8. What would you recommend?,Solution Request,0.6666666666666666,False,0,lost
p791,"Ok. My thinking was that my opponent would go B8, then I would get the important corner slot of A8, but I'll go b7 if you think that's better",Think Aloud,1.0,False,1,lost
p791,"Ok. My thinking was that my opponent would go B8, then I would get the important corner slot of A8, but I'll go b7 if you think that's better",Conversational Acknowledgment,1.0,False,1,lost
p791,"Ok. My thinking was that my opponent would go B8, then I would get the important corner slot of A8, but I'll go b7 if you think that's better",Common Ground Question,1.0,False,1,lost
p791,So now what?,Solution Request,1.0,False,2,lost
p791,It looks bad for me! What should I do now?,Think Aloud,1.0,False,3,lost
p791,It looks bad for me! What should I do now?,Solution Request,1.0,False,3,lost
p791,"Ok, still looking bad. What now?",Think Aloud,1.0,False,4,lost
p791,"Ok, still looking bad. What now?",Conversational Acknowledgment,1.0,False,4,lost
p791,"Ok, still looking bad. What now?",Solution Request,1.0,False,4,lost
p791,"Ah, cool. And now?",Conversational Acknowledgment,1.0,False,5,lost
p791,"Ah, cool. And now?",Solution Request,1.0,False,5,lost
p791,H1?,Common Ground Question,1.0,False,6,lost
p823,where do you think is ideal next,Solution Request,1.0,False,0,lost
p823,and now,Think Aloud,0.3333333333333333,True,1,lost
p823,and now,Conversational Acknowledgment,0.3333333333333333,True,1,lost
p823,and now,Solution Request,0.3333333333333333,True,1,lost
p823,i lost,Metacomment,0.6666666666666666,False,2,lost
p823,okay,Conversational Acknowledgment,1.0,False,3,lost
p823,tips for next one?,Solution Request,1.0,False,4,lost
p706,"I'm really not sure how you play this game, can you give me any advice",Metacomment,0.6666666666666666,False,0,lost
p706,"I'm really not sure how you play this game, can you give me any advice",Solution Request,1.0,False,0,lost
p706,Where do you think I should make my next move?,Solution Request,1.0,False,1,lost
p706,why are corners end game?,Knowledge Deficit Question,1.0,False,2,lost
p706,what happened to my black disc at b7?,Knowledge Deficit Question,1.0,False,3,lost
p706,"okay where should I go now, I was thinking b6",Conversational Acknowledgment,0.6666666666666666,False,4,lost
p706,"okay where should I go now, I was thinking b6",Common Ground Question,1.0,False,4,lost
p706,"okay where should I go now, I was thinking b6",Solution Request,1.0,False,4,lost
p706,"okay it seems white won again, why did my black disc turn white",Conversational Acknowledgment,1.0,False,5,lost
p706,"okay it seems white won again, why did my black disc turn white",Knowledge Deficit Question,1.0,False,5,lost
p706,"I think we have lost given the score, possibly g2",Think Aloud,1.0,False,6,lost
p706,lets try b6 this time,Think Aloud,1.0,False,7,lost
p286,Thanks - what is my best move in this scenario?,Conversational Acknowledgment,1.0,False,0,won
p286,Thanks - what is my best move in this scenario?,Solution Request,1.0,False,0,won
p286,Thanks!,Conversational Acknowledgment,1.0,False,1,won
p286,"I thought I had the hand of it, but I didn't. I should have asked for more advice from you",Think Aloud,1.0,False,2,won
p286,"I thought I had the hand of it, but I didn't. I should have asked for more advice from you",Metacomment,1.0,False,2,won
p286,"Will do, thanks",Conversational Acknowledgment,1.0,False,3,won
p286,Thanks,Conversational Acknowledgment,1.0,False,4,won
p534,"I think I just played 7b, but that square is now white. Why?",Think Aloud,1.0,False,0,won
p534,"I think I just played 7b, but that square is now white. Why?",Knowledge Deficit Question,1.0,False,0,won
p534,what is my best move?,Solution Request,1.0,False,1,won
p534,"I played c8, but now white looks to be in an even better position",Think Aloud,1.0,False,2,won
p534,what's best now?,Solution Request,1.0,False,3,won
p534,explain my options now,Solution Request,1.0,False,4,won
p708,"I'm thinking about square c8, is there a better move?",Think Aloud,1.0,False,0,lost
p708,"I'm thinking about square c8, is there a better move?",Solution Request,1.0,False,0,lost
p708,What would you recommend now?,Solution Request,1.0,False,1,lost
p708,Would a7 be a good move now?,Common Ground Question,1.0,False,2,lost
p708,Is a3 a good move now?,Common Ground Question,1.0,False,3,lost
p708,a1 or g2?,Common Ground Question,1.0,False,4,lost
p708,H1 now?,Common Ground Question,1.0,False,5,lost
p241,I'm thinking c8 because it traps 4 white discs?,Think Aloud,1.0,False,0,lost
p241,I'm thinking c8 because it traps 4 white discs?,Common Ground Question,1.0,False,0,lost
p241,I don't quite follow (I've never played this game before),Metacomment,1.0,False,1,lost
p241,Why is a corner strategically important or does that only apply to this game?,Knowledge Deficit Question,1.0,False,2,lost
p241,I don't see how white can take A8 after I take C8,Think Aloud,0.6666666666666666,False,3,lost
p241,I don't see how white can take A8 after I take C8,Common Ground Question,1.0,False,3,lost
p241,"OK, thanks. So what's the best move?",Conversational Acknowledgment,1.0,False,4,lost
p241,"OK, thanks. So what's the best move?",Solution Request,1.0,False,4,lost
p161,"im looking for the best possible move to maximise success. Not just a good move, but statistically the best possible move",Solution Request,1.0,False,0,lost
p161,have you worked out any other possible outcomes and you are certain this is a strong choice? you are free to take the time needed to run the numbers,Common Ground Question,1.0,False,1,lost
p161,have you worked out any other possible outcomes and you are certain this is a strong choice? you are free to take the time needed to run the numbers,Metacomment,0.6666666666666666,False,1,lost
p161,okay i played B7 - whats the next move. We have 3 more turns to finish my position so lets plan to have 3 more consequetive turns,Think Aloud,1.0,False,2,lost
p161,okay i played B7 - whats the next move. We have 3 more turns to finish my position so lets plan to have 3 more consequetive turns,Conversational Acknowledgment,0.6666666666666666,False,2,lost
p161,okay i played B7 - whats the next move. We have 3 more turns to finish my position so lets plan to have 3 more consequetive turns,Solution Request,1.0,False,2,lost
p161,"so based on whites probable choices, C8 puts black in the best possible position?",Common Ground Question,1.0,False,3,lost
p161,okay - 1 more turn. hows our position looking and is this playing out how you forecasted,Conversational Acknowledgment,1.0,False,4,lost
p161,okay - 1 more turn. hows our position looking and is this playing out how you forecasted,Knowledge Deficit Question,0.6666666666666666,False,4,lost
p161,okay - 1 more turn. hows our position looking and is this playing out how you forecasted,Common Ground Question,0.6666666666666666,False,4,lost
p161,is the goal to have more black circles or white?,Knowledge Deficit Question,1.0,False,5,lost
p161,so white is winning currently? if so the plan has not worked out,Think Aloud,1.0,False,6,lost
p161,so white is winning currently? if so the plan has not worked out,Common Ground Question,0.6666666666666666,False,6,lost
p161,okay - so what is the most optimal move to finish strong?,Conversational Acknowledgment,0.6666666666666666,False,7,lost
p161,okay - so what is the most optimal move to finish strong?,Solution Request,1.0,False,7,lost
p161,white has no legal move so whats the final play,Think Aloud,0.6666666666666666,False,8,lost
p161,white has no legal move so whats the final play,Solution Request,1.0,False,8,lost
p161,and next?,Solution Request,1.0,False,9,lost
p72,I am not sure where to move. Give me the best move,Metacomment,0.6666666666666666,False,0,lost
p72,I am not sure where to move. Give me the best move,Solution Request,1.0,False,0,lost
p72,can't white just flip it with a b8 follow up,Common Ground Question,1.0,False,1,lost
p72,okay so a7 is best?,Conversational Acknowledgment,0.6666666666666666,False,2,lost
p72,okay so a7 is best?,Common Ground Question,1.0,False,2,lost
p72,now what?,Solution Request,1.0,False,3,lost
p72,so now a1?,Common Ground Question,1.0,False,4,lost
p72,h1?,Common Ground Question,1.0,False,5,lost
p150,is H1 a good move for me?,Common Ground Question,1.0,False,0,won
p150,"oh, I see.  Then how about a7?",Conversational Acknowledgment,1.0,False,1,won
p150,"oh, I see.  Then how about a7?",Common Ground Question,1.0,False,1,won
p150,why isn't H1 a legal move right now?,Knowledge Deficit Question,1.0,False,2,won
p150,I get it now.  So I kind of like C8 because it limits white's next move.,Think Aloud,1.0,False,3,won
p150,I get it now.  So I kind of like C8 because it limits white's next move.,Conversational Acknowledgment,0.6666666666666666,False,3,won
p150,I dont have any moves that stop that corner move if A7 isn't a smart play,Think Aloud,1.0,False,4,won
p150,I dont have any moves that stop that corner move if A7 isn't a smart play,Common Ground Question,1.0,False,4,won
p150,b7?,Common Ground Question,1.0,False,5,won
p150,so now i feel like g2 is the best move,Think Aloud,1.0,False,6,won
p150,b6?,Common Ground Question,1.0,False,7,won
p150,a1?,Common Ground Question,1.0,False,8,won
p636,I was thinking c8,Think Aloud,1.0,False,0,lost
p636,I was thinking c8,Common Ground Question,0.6666666666666666,False,0,lost
p636,maybe i should go for a corner then? a1?,Think Aloud,1.0,False,1,lost
p636,maybe i should go for a corner then? a1?,Common Ground Question,1.0,False,1,lost
p636,b6?,Common Ground Question,1.0,False,2,lost
p636,is a7 or b6 better here?,Common Ground Question,1.0,False,3,lost
p636,okay what now? just tell me the best move,Conversational Acknowledgment,1.0,False,4,lost
p636,okay what now? just tell me the best move,Solution Request,1.0,False,4,lost
p392,is this move a good idea?,Common Ground Question,1.0,False,0,won
p392,c6 to b6,Think Aloud,1.0,False,1,won
p392,what about h2 to h1?,Common Ground Question,1.0,False,2,won
p392,b7?,Common Ground Question,1.0,False,3,won
p392,go b7,Think Aloud,0.6666666666666666,False,4,won
p392,was that correct?,Common Ground Question,1.0,False,5,won
p392,so the next move should be c8?,Common Ground Question,1.0,False,6,won
p346,Am considering g8 as it traps four pieces. Is this the best move?,Think Aloud,1.0,False,0,won
p346,Am considering g8 as it traps four pieces. Is this the best move?,Common Ground Question,1.0,False,0,won
p346,"Sorry, I meant g2... okay I'll do c8",Think Aloud,1.0,False,1,won
p346,"Sorry, I meant g2... okay I'll do c8",Metacomment,0.6666666666666666,False,1,won
p346,Gonna do b6,Think Aloud,1.0,False,2,won
p346,You don't seem to realise I'm a begginer. Please can you simplify?,Metacomment,1.0,False,3,won
p346,"So in the early game aim to flip pieces, and in the end game take corners?",Common Ground Question,1.0,False,4,won
p123,"why can't I go to H1, how do I avoid my black counters in the h column from being trapped?",Knowledge Deficit Question,1.0,False,0,won
p123,where did I go wrong in this game?,Knowledge Deficit Question,0.6666666666666666,False,1,won
p123,so you should always aim for corners when playing,Think Aloud,1.0,False,2,won
p123,"okay that makes sense, how is the best way of keeping white away from the corners",Conversational Acknowledgment,1.0,False,3,won
p123,"okay that makes sense, how is the best way of keeping white away from the corners",Knowledge Deficit Question,0.6666666666666666,False,3,won
p123,what makes something a bad move?,Knowledge Deficit Question,1.0,False,4,won
p61,Give the what I need to know based on the board and game,Solution Request,1.0,False,0,lost
p61,b6,Think Aloud,0.6666666666666666,False,1,lost
p61,I can't click finish,Metacomment,1.0,False,2,lost
p55,I'm considering putting a black tile in b6. is this the best move,Think Aloud,1.0,False,0,won
p55,I'm considering putting a black tile in b6. is this the best move,Common Ground Question,1.0,False,0,won
p55,if i put a tile in c8 where do you think my opponent will go next,Common Ground Question,1.0,False,1,won
p55,From this part of the game is there a specific strategy i should be employing,Solution Request,0.6666666666666666,False,2,won
p55,Is there any bias that comes from being the first player to play when the game starts,Knowledge Deficit Question,1.0,False,3,won
p729,does 7a work?,Common Ground Question,1.0,False,0,lost
p729,how about 6b?,Common Ground Question,1.0,False,1,lost
p729,where is the finish button?,Knowledge Deficit Question,1.0,False,2,lost
p726,"Im considing placing a black in 7 c, is that agood move?",Think Aloud,0.6666666666666666,False,0,lost
p726,"Im considing placing a black in 7 c, is that agood move?",Common Ground Question,1.0,False,0,lost
p726,yes I meant b7,Conversational Acknowledgment,0.6666666666666666,False,1,lost
p726,yes I meant b7,Common Ground Question,0.6666666666666666,False,1,lost
p726,"okay im not sure what just happened, i placed in b7 but not what i placed is white, should i go g2 now or a1 or h1 to try and trap them",Common Ground Question,1.0,False,2,lost
p726,"okay im not sure what just happened, i placed in b7 but not what i placed is white, should i go g2 now or a1 or h1 to try and trap them",Metacomment,0.6666666666666666,False,2,lost
p726,"okay so whole bottom is now almost white because of that, our goal is to make everything black, we cannot take the last line anymore right?",Think Aloud,1.0,False,3,lost
p726,"okay so whole bottom is now almost white because of that, our goal is to make everything black, we cannot take the last line anymore right?",Knowledge Deficit Question,0.6666666666666666,False,3,lost
p726,"So I just lost and the game is over, what did I do wrong",Think Aloud,0.6666666666666666,False,4,lost
p726,"So I just lost and the game is over, what did I do wrong",Knowledge Deficit Question,0.6666666666666666,False,4,lost
p726,But how is a1 a legal move if nothing on column a and nothing on column 1 are black then how is a1 black?,Knowledge Deficit Question,1.0,False,5,lost
p736,"I don't know how to play, can you recommend me a move ?",Metacomment,1.0,False,0,won
p736,"I don't know how to play, can you recommend me a move ?",Solution Request,1.0,False,0,won
p736,I'm blocked and the game seems over,Think Aloud,1.0,False,1,won
p736,I'm blocked and the game seems over,Metacomment,0.6666666666666666,False,1,won
p736,And how do I continue the study ? I don't even know rules,Metacomment,0.6666666666666666,False,2,won
p736,And how do I continue the study ? I don't even know rules,Solution Request,1.0,False,2,won
p736,Can you simplify the explanation of the rules ?,Knowledge Deficit Question,1.0,False,3,won
p736,I need to avoid the white create one line ?,Think Aloud,1.0,False,4,won
p736,I need to avoid the white create one line ?,Common Ground Question,0.6666666666666666,False,4,won
p679,I can’t see many places where I can maximise the number of white counters that I trap. Would B7 be good?,Think Aloud,1.0,False,0,lost
p679,I can’t see many places where I can maximise the number of white counters that I trap. Would B7 be good?,Common Ground Question,1.0,False,0,lost
p679,So where should I go?,Solution Request,1.0,False,1,lost
p679,I don’t understand why b7 is white when I’m black,Knowledge Deficit Question,1.0,False,2,lost
p679,But it was empty. Then I clicked it and it turned white,Think Aloud,1.0,False,3,lost
p679,"Ok. I did that, but their reply turned everything white! Where is best now?",Think Aloud,1.0,False,4,lost
p679,"Ok. I did that, but their reply turned everything white! Where is best now?",Conversational Acknowledgment,1.0,False,4,lost
p679,"Ok. I did that, but their reply turned everything white! Where is best now?",Solution Request,1.0,False,4,lost
p593,"I'd like to place a piece on a7, Is that a good idea?",Common Ground Question,1.0,False,0,won
p593,is g2 a better choice?,Common Ground Question,1.0,False,1,won
p593,"I think b7 might be the best option, it takes several pieces and seems safe for the row.",Think Aloud,1.0,False,2,won
p593,"I think b7 might be the best option, it takes several pieces and seems safe for the row.",Common Ground Question,1.0,False,2,won
p593,how does c8 compare to b7?,Common Ground Question,1.0,False,3,won
p593,is b8 a bad move?,Common Ground Question,1.0,False,4,won
p824,What is the next best move I can do,Solution Request,1.0,False,0,lost
p824,What move should I do next,Solution Request,1.0,False,1,lost
p824,What is the next best move,Solution Request,1.0,False,2,lost
p824,What is the next best move,Solution Request,1.0,False,3,lost
p824,I don't see the finish button,Metacomment,0.6666666666666666,False,4,lost
p573,what about G2,Common Ground Question,1.0,False,0,lost
p573,which square would you do?,Solution Request,1.0,False,1,lost
p573,now I am thinking b6,Think Aloud,1.0,False,2,lost
p573,what square would you play?,Solution Request,1.0,False,3,lost
p573,Now what would you play,Solution Request,1.0,False,4,lost
p573,now what would you play,Solution Request,1.0,False,5,lost
ovieCommemorationRandomPackTCG,what move would you suggest and why?,Solution Request,1.0,False,0,won
ovieCommemorationRandomPackTCG,ok wait why are there so many white blocks now? What should I do?,Conversational Acknowledgment,0.6666666666666666,False,1,won
ovieCommemorationRandomPackTCG,ok wait why are there so many white blocks now? What should I do?,Knowledge Deficit Question,1.0,False,1,won
ovieCommemorationRandomPackTCG,ok wait why are there so many white blocks now? What should I do?,Solution Request,1.0,False,1,won
ovieCommemorationRandomPackTCG,"ok. What did white play (i didn't see, it was too quick) and how should I counter and why? Be concise, I'm a beginner.",Conversational Acknowledgment,1.0,False,2,won
ovieCommemorationRandomPackTCG,"ok. What did white play (i didn't see, it was too quick) and how should I counter and why? Be concise, I'm a beginner.",Knowledge Deficit Question,1.0,False,2,won
ovieCommemorationRandomPackTCG,"ok. What did white play (i didn't see, it was too quick) and how should I counter and why? Be concise, I'm a beginner.",Metacomment,0.6666666666666666,False,2,won
ovieCommemorationRandomPackTCG,"ok. What did white play (i didn't see, it was too quick) and how should I counter and why? Be concise, I'm a beginner.",Solution Request,1.0,False,2,won
ovieCommemorationRandomPackTCG,ok now I can play either a1 or g2. Suggestions?,Think Aloud,0.6666666666666666,False,3,won
ovieCommemorationRandomPackTCG,ok now I can play either a1 or g2. Suggestions?,Conversational Acknowledgment,0.6666666666666666,False,3,won
