pid,utt_ind,act_type,text,needs_review
p226,0,Direct Instruction,"There are 10 empties, and **three open corners**: **a1, h1, a8**. In the endgame, corners and forcing moves matter more than “flipping a lot now.”

Black’s legal moves are: **g2, b6, a7, b7, b8, c8**.

Things to watch:
- **g2** is near the open **h1** corner — check whether it lets White take h1.
- **a7, b7, b8** are all around the open **a8** corner, so they may affect who gets that corner.
- Ask: after my move, **how many legal moves does White have**, and can they take a corner?  
- Also consider whether you can make White run out of moves or force a pass.

Try picking one candidate and we can talk through White’s likely reply.",False
p226,0,Hint,"There are 10 empties, and **three open corners**: **a1, h1, a8**. In the endgame, corners and forcing moves matter more than “flipping a lot now.”

Black’s legal moves are: **g2, b6, a7, b7, b8, c8**.

Things to watch:
- **g2** is near the open **h1** corner — check whether it lets White take h1.
- **a7, b7, b8** are all around the open **a8** corner, so they may affect who gets that corner.
- Ask: after my move, **how many legal moves does White have**, and can they take a corner?  
- Also consider whether you can make White run out of moves or force a pass.

Try picking one candidate and we can talk through White’s likely reply.",False
p226,0,Prompt,"There are 10 empties, and **three open corners**: **a1, h1, a8**. In the endgame, corners and forcing moves matter more than “flipping a lot now.”

Black’s legal moves are: **g2, b6, a7, b7, b8, c8**.

Things to watch:
- **g2** is near the open **h1** corner — check whether it lets White take h1.
- **a7, b7, b8** are all around the open **a8** corner, so they may affect who gets that corner.
- Ask: after my move, **how many legal moves does White have**, and can they take a corner?  
- Also consider whether you can make White run out of moves or force a pass.

Try picking one candidate and we can talk through White’s likely reply.",False
p226,1,Direct Instruction,"If Black plays **c8**, you flip quite a lot: **c7, d7, d8, e6, f5, g4**.

But the key consequence: it gives White the **a1 corner** next turn. White can play **a1** along the diagonal **a1-b2-c3-d4-e5-f6-g7**.

So **c8 looks big immediately**, but it likely trades that for a permanent White corner.",False
p226,2,Direct Instruction,"Playing **a7** flips only **a6** — so it’s a “small” move, not a big grab.

The concern is what it leaves White:
- White can likely answer with the **a1 corner**, which is permanent.
- It also doesn’t secure the **a8 corner** yet; the nearby empties **b7/b8/a8** still matter.

So ask yourself: after **a7**, are you gaining enough on the left edge to compensate for White possibly getting **a1**?",False
p226,2,Hint,"Playing **a7** flips only **a6** — so it’s a “small” move, not a big grab.

The concern is what it leaves White:
- White can likely answer with the **a1 corner**, which is permanent.
- It also doesn’t secure the **a8 corner** yet; the nearby empties **b7/b8/a8** still matter.

So ask yourself: after **a7**, are you gaining enough on the left edge to compensate for White possibly getting **a1**?",False
p226,2,Prompt,"Playing **a7** flips only **a6** — so it’s a “small” move, not a big grab.

The concern is what it leaves White:
- White can likely answer with the **a1 corner**, which is permanent.
- It also doesn’t secure the **a8 corner** yet; the nearby empties **b7/b8/a8** still matter.

So ask yourself: after **a7**, are you gaining enough on the left edge to compensate for White possibly getting **a1**?",False
p226,3,Direct Instruction,"**g2** flips **f2, f3, e4, d5** — a decent-looking gain.

But the big issue: it still leaves White the **a1 corner** immediately, via the diagonal **a1-b2-c3-d4-e5-f6-g7**. Corners are permanent, so that’s a serious price.

So I’d be cautious: **g2 gains discs now, but may lose too much corner control.**",False
p226,3,Neutral Feedback,"**g2** flips **f2, f3, e4, d5** — a decent-looking gain.

But the big issue: it still leaves White the **a1 corner** immediately, via the diagonal **a1-b2-c3-d4-e5-f6-g7**. Corners are permanent, so that’s a serious price.

So I’d be cautious: **g2 gains discs now, but may lose too much corner control.**",False
p226,4,Direct Instruction,"Right — **a1 looks hard to stop**, so don’t focus only on that corner.

Endgame question becomes: **if White gets a1, what do you get in return?**
Look for a move that:
- doesn’t also hand over **h1** or **a8** cheaply,
- keeps pressure around **a8**,
- leaves White with few good moves after **a1**.

So compare the left-side options by asking: after my move and White **a1**, can I take or secure **a8**, or do I lose both corners?",False
p226,4,Hint,"Right — **a1 looks hard to stop**, so don’t focus only on that corner.

Endgame question becomes: **if White gets a1, what do you get in return?**
Look for a move that:
- doesn’t also hand over **h1** or **a8** cheaply,
- keeps pressure around **a8**,
- leaves White with few good moves after **a1**.

So compare the left-side options by asking: after my move and White **a1**, can I take or secure **a8**, or do I lose both corners?",False
p226,4,Prompt,"Right — **a1 looks hard to stop**, so don’t focus only on that corner.

Endgame question becomes: **if White gets a1, what do you get in return?**
Look for a move that:
- doesn’t also hand over **h1** or **a8** cheaply,
- keeps pressure around **a8**,
- leaves White with few good moves after **a1**.

So compare the left-side options by asking: after my move and White **a1**, can I take or secure **a8**, or do I lose both corners?",False
p226,4,Pose Simplified Problem,"Right — **a1 looks hard to stop**, so don’t focus only on that corner.

Endgame question becomes: **if White gets a1, what do you get in return?**
Look for a move that:
- doesn’t also hand over **h1** or **a8** cheaply,
- keeps pressure around **a8**,
- leaves White with few good moves after **a1**.

So compare the left-side options by asking: after my move and White **a1**, can I take or secure **a8**, or do I lose both corners?",False
p277,0,Direct Instruction,"In Othello, you can only play a square if it **captures at least one opponent disc**.

That means: from your new black disc, in a straight line — horizontal, vertical, or diagonal — there must be:

**your new black disc → one or more white discs → another black disc**

The white discs in between get flipped.

So the pale-dot squares are exactly the empty squares where that pattern exists.  
For example, if Black plays **g2**, it would bracket white discs along a line with another black disc, so it’s legal.

Empty squares without a dot don’t currently trap any white discs between the new black disc and an existing black disc, so they aren’t playable.",False
p277,1,Direct Instruction,"Not quite — **g2 flips 4 white discs**:

- **f2** flips horizontally, because g2–f2–e2 brackets white with black.
- **f3, e4, d5** flip diagonally, because g2–f3–e4–d5–c6 brackets them.

The white discs down the **g-file** don’t flip, because there’s no black disc at the far end to bracket them.",False
p277,1,Negative Feedback,"Not quite — **g2 flips 4 white discs**:

- **f2** flips horizontally, because g2–f2–e2 brackets white with black.
- **f3, e4, d5** flip diagonally, because g2–f3–e4–d5–c6 brackets them.

The white discs down the **g-file** don’t flip, because there’s no black disc at the far end to bracket them.",False
p277,2,Direct Instruction,"Good thought to compare **b7 vs c8**, but don’t choose just by “flips 5.”

In the endgame, ask: **what does White get next?**

- **b7** flips a lot, but it’s next to the empty **a8 corner**, so check whether White can use that.
- **c8** also flips a lot, but ask whether White can immediately play on the bottom edge and flip some back.

Try looking one move ahead: after each, what legal moves would White have, especially near **a8/b8**?",False
p277,2,Hint,"Good thought to compare **b7 vs c8**, but don’t choose just by “flips 5.”

In the endgame, ask: **what does White get next?**

- **b7** flips a lot, but it’s next to the empty **a8 corner**, so check whether White can use that.
- **c8** also flips a lot, but ask whether White can immediately play on the bottom edge and flip some back.

Try looking one move ahead: after each, what legal moves would White have, especially near **a8/b8**?",False
p277,2,Prompt,"Good thought to compare **b7 vs c8**, but don’t choose just by “flips 5.”

In the endgame, ask: **what does White get next?**

- **b7** flips a lot, but it’s next to the empty **a8 corner**, so check whether White can use that.
- **c8** also flips a lot, but ask whether White can immediately play on the bottom edge and flip some back.

Try looking one move ahead: after each, what legal moves would White have, especially near **a8/b8**?",False
p277,2,Positive Feedback,"Good thought to compare **b7 vs c8**, but don’t choose just by “flips 5.”

In the endgame, ask: **what does White get next?**

- **b7** flips a lot, but it’s next to the empty **a8 corner**, so check whether White can use that.
- **c8** also flips a lot, but ask whether White can immediately play on the bottom edge and flip some back.

Try looking one move ahead: after each, what legal moves would White have, especially near **a8/b8**?",False
p277,2,Neutral Feedback,"Good thought to compare **b7 vs c8**, but don’t choose just by “flips 5.”

In the endgame, ask: **what does White get next?**

- **b7** flips a lot, but it’s next to the empty **a8 corner**, so check whether White can use that.
- **c8** also flips a lot, but ask whether White can immediately play on the bottom edge and flip some back.

Try looking one move ahead: after each, what legal moves would White have, especially near **a8/b8**?",False
p277,3,Direct Instruction,"That’s a good safety instinct: **b6 doesn’t directly sit next to the a8 corner**.

But check two more things before choosing it:

- **b6 only flips c5**, so it may not change the endgame much.
- It leaves the whole lower-left area open: **a7, b7, b8, c8, a8**. Ask: after b6, does White get a strong reply or a path to the **a8 corner**?

So don’t judge only by “not near a corner”; compare what White’s next legal moves become.",False
p277,3,Prompt,"That’s a good safety instinct: **b6 doesn’t directly sit next to the a8 corner**.

But check two more things before choosing it:

- **b6 only flips c5**, so it may not change the endgame much.
- It leaves the whole lower-left area open: **a7, b7, b8, c8, a8**. Ask: after b6, does White get a strong reply or a path to the **a8 corner**?

So don’t judge only by “not near a corner”; compare what White’s next legal moves become.",False
p277,3,Positive Feedback,"That’s a good safety instinct: **b6 doesn’t directly sit next to the a8 corner**.

But check two more things before choosing it:

- **b6 only flips c5**, so it may not change the endgame much.
- It leaves the whole lower-left area open: **a7, b7, b8, c8, a8**. Ask: after b6, does White get a strong reply or a path to the **a8 corner**?

So don’t judge only by “not near a corner”; compare what White’s next legal moves become.",False
p277,3,Neutral Feedback,"That’s a good safety instinct: **b6 doesn’t directly sit next to the a8 corner**.

But check two more things before choosing it:

- **b6 only flips c5**, so it may not change the endgame much.
- It leaves the whole lower-left area open: **a7, b7, b8, c8, a8**. Ask: after b6, does White get a strong reply or a path to the **a8 corner**?

So don’t judge only by “not near a corner”; compare what White’s next legal moves become.",False
p277,4,Direct Instruction,"Careful: after **g2**, White may actually be able to play the **h1 corner**:  
**h1–g2–f3** would be White bracketing your new black disc on g2.

So g2 might still be worth considering, but not because it prevents all corners. Ask: **if White takes h1, do you still end up ahead or get a strong reply?**",False
p277,4,Prompt,"Careful: after **g2**, White may actually be able to play the **h1 corner**:  
**h1–g2–f3** would be White bracketing your new black disc on g2.

So g2 might still be worth considering, but not because it prevents all corners. Ask: **if White takes h1, do you still end up ahead or get a strong reply?**",False
p277,4,Neutral Feedback,"Careful: after **g2**, White may actually be able to play the **h1 corner**:  
**h1–g2–f3** would be White bracketing your new black disc on g2.

So g2 might still be worth considering, but not because it prevents all corners. Ask: **if White takes h1, do you still end up ahead or get a strong reply?**",False
p780,0,Direct Instruction,"I’d be cautious about **b6**. It flips several discs now, but in the endgame that can be misleading: those discs aren’t permanent, and it seems to leave White multiple replies around the lower-left edge.

Before choosing it, ask: after **b6**, can White play into **a7/b8/c8** and gain the edge/corner access? If yes, that’s a warning sign. Compare it with moves that restrict White’s next options more.",False
p780,0,Hint,"I’d be cautious about **b6**. It flips several discs now, but in the endgame that can be misleading: those discs aren’t permanent, and it seems to leave White multiple replies around the lower-left edge.

Before choosing it, ask: after **b6**, can White play into **a7/b8/c8** and gain the edge/corner access? If yes, that’s a warning sign. Compare it with moves that restrict White’s next options more.",False
p780,0,Prompt,"I’d be cautious about **b6**. It flips several discs now, but in the endgame that can be misleading: those discs aren’t permanent, and it seems to leave White multiple replies around the lower-left edge.

Before choosing it, ask: after **b6**, can White play into **a7/b8/c8** and gain the edge/corner access? If yes, that’s a warning sign. Compare it with moves that restrict White’s next options more.",False
p780,0,Neutral Feedback,"I’d be cautious about **b6**. It flips several discs now, but in the endgame that can be misleading: those discs aren’t permanent, and it seems to leave White multiple replies around the lower-left edge.

Before choosing it, ask: after **b6**, can White play into **a7/b8/c8** and gain the edge/corner access? If yes, that’s a warning sign. Compare it with moves that restrict White’s next options more.",False
p780,1,Direct Instruction,"**g2 is risky.** It’s the diagonal “X-square” next to the empty corner **h1**.

If Black plays **g2**, White appears to get **h1** immediately by the diagonal **h1–g2–f3**. That corner would be permanent, so the flips you gain at g2 may be given back or outweighed.

So I’d compare: *does another legal move avoid handing White a corner while still limiting White’s replies?*",False
p780,1,Hint,"**g2 is risky.** It’s the diagonal “X-square” next to the empty corner **h1**.

If Black plays **g2**, White appears to get **h1** immediately by the diagonal **h1–g2–f3**. That corner would be permanent, so the flips you gain at g2 may be given back or outweighed.

So I’d compare: *does another legal move avoid handing White a corner while still limiting White’s replies?*",False
p780,1,Pose Simplified Problem,"**g2 is risky.** It’s the diagonal “X-square” next to the empty corner **h1**.

If Black plays **g2**, White appears to get **h1** immediately by the diagonal **h1–g2–f3**. That corner would be permanent, so the flips you gain at g2 may be given back or outweighed.

So I’d compare: *does another legal move avoid handing White a corner while still limiting White’s replies?*",False
p780,2,Direct Instruction,"**a7 is safer than g2** because it doesn’t directly hand White the **h1 corner**.

But don’t stop at “safer”: after **a7**, check White’s legal replies and whether Black still controls access to the empty corners **a1/h1**. I’d especially compare it with **c8**, which may restrict White more in the endgame.",False
p780,2,Hint,"**a7 is safer than g2** because it doesn’t directly hand White the **h1 corner**.

But don’t stop at “safer”: after **a7**, check White’s legal replies and whether Black still controls access to the empty corners **a1/h1**. I’d especially compare it with **c8**, which may restrict White more in the endgame.",False
p780,2,Prompt,"**a7 is safer than g2** because it doesn’t directly hand White the **h1 corner**.

But don’t stop at “safer”: after **a7**, check White’s legal replies and whether Black still controls access to the empty corners **a1/h1**. I’d especially compare it with **c8**, which may restrict White more in the endgame.",False
p780,3,Direct Instruction,"Main “disadvantages” of **c8**:

- It flips only **d8**, so it looks small immediately.
- It may leave White a reply at **b8** along the bottom edge.

But those aren’t necessarily bad in the endgame: **c8 avoids the dangerous h1 corner issue from g2**, and it doesn’t give away a corner directly. The key question is whether White’s replies after c8 are limited/manageable.",False
p780,3,Prompt,"Main “disadvantages” of **c8**:

- It flips only **d8**, so it looks small immediately.
- It may leave White a reply at **b8** along the bottom edge.

But those aren’t necessarily bad in the endgame: **c8 avoids the dangerous h1 corner issue from g2**, and it doesn’t give away a corner directly. The key question is whether White’s replies after c8 are limited/manageable.",False
p780,4,Hint,"You’re welcome!  

For this position, keep asking: **which move leaves White the fewest useful replies and avoids giving a corner**—especially **h1** after moves near **g2**, and the bottom-left edge around **a7/b8/c8**. If you want, I can help count the final sequence from any move you’re considering.",False
p780,4,Pose Simplified Problem,"You’re welcome!  

For this position, keep asking: **which move leaves White the fewest useful replies and avoids giving a corner**—especially **h1** after moves near **g2**, and the bottom-left edge around **a7/b8/c8**. If you want, I can help count the final sequence from any move you’re considering.",False
p158,0,Provide Correct Answer,"Yes — **g2 works** and is the move I’d lean toward here.

It only flips **f2**, but that’s fine in the endgame: the key is that it keeps your remaining options on the bottom/left side while avoiding the more dangerous edge moves too early. Just be aware White may look at the **h1 corner** afterward, so count the follow-up rather than judging by flips now.",False
p158,0,Direct Instruction,"Yes — **g2 works** and is the move I’d lean toward here.

It only flips **f2**, but that’s fine in the endgame: the key is that it keeps your remaining options on the bottom/left side while avoiding the more dangerous edge moves too early. Just be aware White may look at the **h1 corner** afterward, so count the follow-up rather than judging by flips now.",False
p158,0,Hint,"Yes — **g2 works** and is the move I’d lean toward here.

It only flips **f2**, but that’s fine in the endgame: the key is that it keeps your remaining options on the bottom/left side while avoiding the more dangerous edge moves too early. Just be aware White may look at the **h1 corner** afterward, so count the follow-up rather than judging by flips now.",False
p158,0,Positive Feedback,"Yes — **g2 works** and is the move I’d lean toward here.

It only flips **f2**, but that’s fine in the endgame: the key is that it keeps your remaining options on the bottom/left side while avoiding the more dangerous edge moves too early. Just be aware White may look at the **h1 corner** afterward, so count the follow-up rather than judging by flips now.",False
p158,1,Direct Instruction,"By “follow-up” I mean: **don’t judge your move by the discs it flips now**—look at what White can play immediately after.

In this position, ask for each candidate (**b6, b7, b8, c8**):

1. Does it let White take a corner like **a8** or **h1**?
2. Does it leave White with very few moves / maybe a pass?
3. After White’s reply, what will your next move be?

With only 6 empties, the game can be counted almost to the end.",False
p158,1,Prompt,"By “follow-up” I mean: **don’t judge your move by the discs it flips now**—look at what White can play immediately after.

In this position, ask for each candidate (**b6, b7, b8, c8**):

1. Does it let White take a corner like **a8** or **h1**?
2. Does it leave White with very few moves / maybe a pass?
3. After White’s reply, what will your next move be?

With only 6 empties, the game can be counted almost to the end.",False
p158,2,Provide Correct Answer,"I’d **not play c8 yet**. I’d go **b6** first.

Reason: **c8 gives White lots of replies** around **a8/b8/b7**, while **b6 limits White’s mobility** much more. In this endgame, restricting White’s moves matters more than the immediate flips.",False
p158,2,Direct Instruction,"I’d **not play c8 yet**. I’d go **b6** first.

Reason: **c8 gives White lots of replies** around **a8/b8/b7**, while **b6 limits White’s mobility** much more. In this endgame, restricting White’s moves matters more than the immediate flips.",False
p158,3,Direct Instruction,"Game’s over — **0 empty squares**, so no move left.

Final count: **Black 18, White 46**. White wins.

Tips for next endgame:

- **Don’t chase flips** early in the endgame; big flips can flip back.
- **Corners are huge** because they never change.
- Avoid playing next to an open corner (**C-squares/X-squares**) unless you’ve counted it out.
- Try to **limit White’s legal moves**; forcing a pass can be better than flipping many discs.
- With few empties left, **count the sequence**: “If I play X, White must play Y, then I get Z.”
- Stable edge discs matter more than temporary center discs.",False
p158,4,Direct Instruction,"No — **the board is full**, so the game is over. There are **no moves left**, so **no discs can be flipped back** now.

In Othello, discs only flip when someone legally places a disc on an empty square. With **0 empty squares**, the final count stands.",False
p158,4,Negative Feedback,"No — **the board is full**, so the game is over. There are **no moves left**, so **no discs can be flipped back** now.

In Othello, discs only flip when someone legally places a disc on an empty square. With **0 empty squares**, the final count stands.",False
p62,0,Direct Instruction,"No — **h2 to h1 isn’t a legal Othello move**. You don’t move discs; you place a new Black disc on a marked legal square.

Your legal choices are: **b6, a7, b7, b8, c8**.

Instead of “blocking the row,” think: **which move leaves White the fewest good replies, especially around the empty corners/edges?**",False
p62,0,Hint,"No — **h2 to h1 isn’t a legal Othello move**. You don’t move discs; you place a new Black disc on a marked legal square.

Your legal choices are: **b6, a7, b7, b8, c8**.

Instead of “blocking the row,” think: **which move leaves White the fewest good replies, especially around the empty corners/edges?**",False
p62,0,Pose Simplified Problem,"No — **h2 to h1 isn’t a legal Othello move**. You don’t move discs; you place a new Black disc on a marked legal square.

Your legal choices are: **b6, a7, b7, b8, c8**.

Instead of “blocking the row,” think: **which move leaves White the fewest good replies, especially around the empty corners/edges?**",False
p62,0,Negative Feedback,"No — **h2 to h1 isn’t a legal Othello move**. You don’t move discs; you place a new Black disc on a marked legal square.

Your legal choices are: **b6, a7, b7, b8, c8**.

Instead of “blocking the row,” think: **which move leaves White the fewest good replies, especially around the empty corners/edges?**",False
p62,1,Provide Correct Answer,"I’d recommend **b6**.

Why: **c8** only flips one disc and can leave the bottom-left empties awkward. **b6** flips the diagonal **c5–d4–e3** and gives Black a stronger shape while keeping more pressure on White’s remaining replies.",False
p62,1,Direct Instruction,"I’d recommend **b6**.

Why: **c8** only flips one disc and can leave the bottom-left empties awkward. **b6** flips the diagonal **c5–d4–e3** and gives Black a stronger shape while keeping more pressure on White’s remaining replies.",False
p62,2,Direct Instruction,"**a7 is legal**, but pause: it sits right next to the empty corner **a8**.

Ask yourself: if you play **a7**, can White immediately take **a8**? Corners are permanent, so giving White a corner this late is usually very costly. Consider the legal move that avoids handing over that corner.",False
p62,2,Hint,"**a7 is legal**, but pause: it sits right next to the empty corner **a8**.

Ask yourself: if you play **a7**, can White immediately take **a8**? Corners are permanent, so giving White a corner this late is usually very costly. Consider the legal move that avoids handing over that corner.",False
p62,2,Prompt,"**a7 is legal**, but pause: it sits right next to the empty corner **a8**.

Ask yourself: if you play **a7**, can White immediately take **a8**? Corners are permanent, so giving White a corner this late is usually very costly. Consider the legal move that avoids handing over that corner.",False
p62,3,Direct Instruction,"Sure.

On your turn, you **place** a new black disc on an empty legal square. You flip White discs when they are **trapped in a straight line** between:

**your new black disc** and **another black disc already on the board**.

Lines can be:
- horizontal
- vertical
- diagonal

Example pattern:

**Black – White – White – [your new Black]**

Those White discs in between flip to Black.

Important:
- There must be **no empty spaces** in the line.
- You flip in **all directions** where you trap discs.
- You do **not move** an existing disc; you only place a new one.
- If you have no legal move, you **pass**. If both players cannot move or the board is full, the game ends.

This board is full now, so the game is over. Final count looks like **White 42, Black 22**.",False
p62,4,Direct Instruction,"A move is legal if placing a Black disc there would **flip at least one White disc**.

That means in **one straight direction** (row, column, or diagonal) from the empty square, you must see:

**new Black → one or more White discs → existing Black**

No gaps, and the line must end with a Black disc.

If no direction traps White discs like that, the square has **no dot** and is illegal.

In your shown board there are **0 empty squares**, so Black has **no legal moves** and the game is over.",False
p405,0,Direct Instruction,"b7 isn’t legal — it’s already occupied by White.

Your legal moves are **g2, b6, a7, c8**. In this endgame, look especially at whether your move gives White access to an empty corner like **a1 or h1**, and whether it leaves White with few moves.",False
p405,0,Hint,"b7 isn’t legal — it’s already occupied by White.

Your legal moves are **g2, b6, a7, c8**. In this endgame, look especially at whether your move gives White access to an empty corner like **a1 or h1**, and whether it leaves White with few moves.",False
p405,0,Negative Feedback,"b7 isn’t legal — it’s already occupied by White.

Your legal moves are **g2, b6, a7, c8**. In this endgame, look especially at whether your move gives White access to an empty corner like **a1 or h1**, and whether it leaves White with few moves.",False
p405,1,Provide Correct Answer,"**c8 is legal.** Nice endgame idea: it only flips **d8**, but it keeps Black stable on the bottom edge and doesn’t immediately give White an easy corner. In endgames, that kind of quiet move can be stronger than a big flip.",False
p405,1,Direct Instruction,"**c8 is legal.** Nice endgame idea: it only flips **d8**, but it keeps Black stable on the bottom edge and doesn’t immediately give White an easy corner. In endgames, that kind of quiet move can be stronger than a big flip.",False
p405,1,Positive Feedback,"**c8 is legal.** Nice endgame idea: it only flips **d8**, but it keeps Black stable on the bottom edge and doesn’t immediately give White an easy corner. In endgames, that kind of quiet move can be stronger than a big flip.",False
p405,2,Hint,"Black’s legal moves are:

- **g2**
- **b6**
- **a7**

Quick thing to compare: **a7** is next to the empty **a8/a? edge area**, while **g2** is near the top-right side and may affect access to **h1** later. Think about which move leaves White with the fewest useful replies.",False
p405,2,Pose Simplified Problem,"Black’s legal moves are:

- **g2**
- **b6**
- **a7**

Quick thing to compare: **a7** is next to the empty **a8/a? edge area**, while **g2** is near the top-right side and may affect access to **h1** later. Think about which move leaves White with the fewest useful replies.",False
p405,3,Direct Instruction,"**a7 is legal.** It flips **a6, b7, and c7**.

Good endgame idea: it strengthens the left/bottom edge area without handing White an immediate corner. Now watch whether White is forced into a low-mobility reply.",False
p405,3,Hint,"**a7 is legal.** It flips **a6, b7, and c7**.

Good endgame idea: it strengthens the left/bottom edge area without handing White an immediate corner. Now watch whether White is forced into a low-mobility reply.",False
p405,3,Positive Feedback,"**a7 is legal.** It flips **a6, b7, and c7**.

Good endgame idea: it strengthens the left/bottom edge area without handing White an immediate corner. Now watch whether White is forced into a low-mobility reply.",False
p405,4,Direct Instruction,"Legal moves for Black are:

- **a1**
- **g2**
- **a3**

Only 4 empties left, so compare not just flips now, but what each move leaves White next—especially whether White gets a corner or is forced into a pass.",False
p405,4,Hint,"Legal moves for Black are:

- **a1**
- **g2**
- **a3**

Only 4 empties left, so compare not just flips now, but what each move leaves White next—especially whether White gets a corner or is forced into a pass.",False
p405,5,Provide Correct Answer,"**Best: a3.**

It’s strong because after **a3**, White appears to have **no legal move**, so White must **pass** and Black moves again. That mobility swing is better than grabbing **a1** immediately.",False
p405,5,Direct Instruction,"**Best: a3.**

It’s strong because after **a3**, White appears to have **no legal move**, so White must **pass** and Black moves again. That mobility swing is better than grabbing **a1** immediately.",False
